%KF,time_period,x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,0,0,1
0,1,0.136474609375,-0.3960504531860352,-0.1485238075256348,0.003185862908139825,0.01442173030227423,0.2299489080905914,0.9730907082557678
0,2,13.55545043945312,-3.049089431762695,-0.267578661441803,-0.006710341665893793,-0.0001537250209366903,-0.7460520267486572,0.6658539175987244
0,3,-0.1435928344726562,-0.6019325256347656,0.1054803133010864,0.001021703472360969,0.005649930331856012,0.2305052578449249,0.9730541706085205
0,4,0.0299835205078125,-0.6901683807373047,0.07971063256263733,0.007752778939902782,-0.0005787163390778005,0.1939353197813034,0.9809834957122803
0,5,-5.497077941894531,-49.55307006835938,-3.035418510437012,0.04428935796022415,0.02659565582871437,0.3177774250507355,0.946756899356842
%KF,time_period,x,y,z,qx,qy,qz,qw
0,1,0,0,0,0,0,0,1
0,2,5.594486236572266,0.5206737518310547,1.047207951545715,-0.02142180688679218,-0.001159059582278132,0.8757030963897705,-0.4823731780052185
0,3,-0.248321533203125,0.06530380249023438,0.2753517627716064,-0.005566250067204237,-0.0076947882771492,0.00219463580287993,0.999952495098114
0,4,-0.4313621520996094,-0.07342910766601562,0.256232738494873,0.0003800923877861351,-0.01483247336000204,-0.03612208366394043,0.9992372393608093
0,5,10.0956916809082,-9.696025848388672,0.2410668134689331,0.005856781732290983,0.02032899111509323,0.389545351266861,0.9207642674446106
%KF,time_period,x,y,z,qx,qy,qz,qw
0,2,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,1
0,4,0,0,0,0,0,0,1
0,5,25.93132781982422,36.7756233215332,-1.04210090637207,-0.007935625500977039,0.06136133149266243,0.9644094705581665,0.2570724785327911
%KF,time_period,x,y,z,qx,qy,qz,qw
0,3,0,0,0,0,0,0,1
0,4,0.06768035888671875,0.0549468994140625,-0.06012058258056641,0.004714231006801128,-0.007056779693812132,-0.03840461000800133,0.9992262721061707
0,5,1.455787658691406,0.445465087890625,0.3378963470458984,-0.003665413474664092,0.04526649042963982,0.4738717675209045,0.8794220685958862
%KF,time_period,x,y,z,qx,qy,qz,qw
0,4,0,0,0,0,0,0,1
0,5,-39.50661849975586,2.794086456298828,-2.046017169952393,0.08267796039581299,0.06031781807541847,-0.04666778445243835,0.9936540126800537
%KF,time_period,x,y,z,qx,qy,qz,qw
1,0,0,0,0,0,0,0,1
1,1,-1.202144622802734,-0.4956445693969727,-0.06267213821411133,-0.01222658157348633,0.02411681041121483,0.2658075988292694,0.9636468291282654
1,2,6.435657501220703,-1.811142921447754,-0.1969206631183624,0.005214896518737078,0.004208164289593697,-0.7481069564819336,0.6635444164276123
1,3,0.2586441040039062,-0.698028564453125,0.01619121432304382,-0.01542364154011011,0.009851828217506409,0.2533366680145264,0.9672050476074219
